#{"t_start": 1694684980.9117434, "env_id": null}
r,l,t
46.459918,149,193.541606
50.308861,149,194.250762
38.257285,149,194.984461
43.567198,149,195.692203
31.835134,149,196.414649
-463.979189,149,197.148628
36.738016,149,197.890793
37.433662,149,198.607251
-261.173947,149,199.324712
-247.6853,58,199.962445
67.117957,149,200.301141
-160.185384,149,201.010842
47.272243,149,201.715676
42.526035,149,202.435112
40.166699,149,203.160822
27.532384,45,203.809818
31.989622,41,204.023812
42.969159,60,204.237504
65.652748,149,204.601504
42.313268,149,205.337008
-69.216084,27,205.964796
-53.672743,149,206.197836
-59.101717,80,206.865959
-58.281036,149,207.300699
36.615363,45,207.942422
65.683289,149,208.232189
-201.113907,149,208.961853
98.275142,149,209.686639
-78.348889,11,210.304264
-176.483745,20,210.367265
82.415341,149,210.560267
77.92403,149,211.266297
-565.478356,53,211.903577
-373.934108,30,212.142617
-65.94266,22,212.277465
77.446367,149,212.475462
62.005083,149,213.192193
53.254049,149,213.902727
52.523765,149,214.611428
78.511783,149,215.307031
69.81202,149,216.007703
53.098447,149,216.709433
-150.215845,149,217.403976
70.160429,149,218.104734
-19.698523,149,218.805221
-128.516337,149,219.5556
48.624285,149,220.28918
58.304329,149,221.023873
52.038422,149,221.737638
55.978152,149,222.450295
51.918758,149,223.171108
60.59951,149,223.947256
63.627062,149,224.696931
-1773.709616,74,225.473565
50.26514,149,225.933239
-62.883643,66,226.67789
70.379713,149,227.08165
51.040897,149,227.948341
-53.839974,149,228.812606
53.106122,149,229.632432
58.099782,149,230.542548
58.712028,149,231.442042
-180.150707,33,232.148393
-174.544458,32,232.328095
48.845572,149,232.573094
47.156071,149,233.323306
55.498821,149,234.14313
63.688142,149,234.926683
23.007243,149,235.735468
28.244944,149,236.601932
42.958639,149,237.368871
65.055756,149,238.109726
63.110851,149,238.991778
68.723368,149,239.87928
57.242116,149,240.700909
61.840591,149,241.408369
55.118455,149,242.183165
62.546092,149,242.907824
61.363985,149,243.736468
51.993303,149,244.448858
53.628783,149,245.31539
64.364459,149,246.203231
49.602287,149,246.997879
48.528457,149,247.857684
54.896955,149,248.746441
42.495784,149,249.551972
43.972359,149,250.272611
50.802435,149,251.085353
45.963613,149,251.908579
66.819968,149,252.643323
34.896821,149,253.544455
59.094401,149,254.333066
61.142213,149,255.237599
60.050232,149,256.064343
65.360892,149,257.001938
59.125824,149,257.749291
-54.677537,149,258.533938
41.369162,149,259.353421
61.995685,149,260.128206
53.637903,149,260.893566
56.794404,149,261.769314
67.917569,149,262.486784
39.595421,149,263.287222
58.014152,149,264.070013
42.433304,149,264.824518
-53.768195,149,265.690283
-64.860921,149,266.528699
39.123357,149,267.272089
-42.861447,149,268.061841
44.920229,149,268.856352
43.642117,149,269.730133
37.179122,149,270.659368
42.109837,149,271.555339
-163.748223,137,272.48686
58.065319,149,273.235175
48.077487,149,274.052006
-45.123986,149,274.883579
-77.312797,12,275.565346
61.295869,149,275.733346
